country_code_2,fiscal_year,gdp_amount
bb,2018,4.805
by,2018,76.023
be,2018,511.491
bz,2018,2.021
bj,2018,9.896
bt,2018,3.141
bo,2018,41.429
ba,2018,18.556
bw,2018,14.814
br,2018,"1,854.68"
bn,2018,14.551
bg,2018,53.227
bf,2018,14.778
bi,2018,3.825
kh,2018,22.765
cm,2018,36.458
ca,2018,"1,773.80"
cv,2018,0
cf,2018,2.371
td,2018,15.988
cl,2018,262.953
cn,2018,"14,272.35"
co,2018,339.668
km,2018,0.717
cd,2018,0
cg,2018,0
cr,2018,62.963
ci,2018,41.84
hr,2018,54.919
cy,2018,21.735
cz,2018,201.46
dk,2018,333.132
dj,2018,2.372
dm,2018,0.598
do,2018,77.088
ec,2018,108.468
eg,2018,0
sv,2018,28.896
gq,2018,10.547
er,2018,6.289
ee,2018,27.646
et,2018,84.407
fj,2018,5.214
fi,2018,256.596
fr,2018,"2,690.48"
ga,2018,16.648
gm,2018,0
ge,2018,17.074
de,2018,"3,721.37"
gh,2018,51.233
gr,2018,211.9
gd,2018,1.108
gt,2018,75.129
gn,2018,8.165
gw,2018,1.313
gy,2018,3.802
ht,2018,9.83
hn,2018,21.646
hk,2018,358.665
hu,2018,137.335
is,2018,19.267
in,2018,"2,846.16"
id,2018,"1,021.23"
ir,2018,0
ie,2018,267.745
il,2018,325.563
it,2018,"1,997.84"
jm,2018,15.426
jp,2018,"4,446.33"
jo,2018,46.937
kz,2018,218.887
ke,2018,85.263
ki,2018,0.173
kr,2018,"1,649.08"
kw,2018,155.529
kg,2018,8.991
la,2018,0
lv,2018,33.696
lb,2018,62.206
ls,2018,2.408
lr,2018,2.499
ly,2018,41.529
lt,2018,50.503
lu,2018,69.332
mk,2018,0
mg,2018,10.405
mw,2018,6.898
my,2018,437.428
mv,2018,3.768
ml,2018,13.967
mt,2018,10.997
mr,2018,5.514
mu,2018,13.699
mx,2018,"1,322.92"
md,2018,7.567
mn,2018,14.82
ma,2018,126.147
mz,2018,23.735
mm,2018,87.474
na,2018,16.215
np,2018,28.555
nl,2018,855.637
nz,2018,179.016
ni,2018,14.702
ne,2018,9.378
ng,2018,534.715
no,2018,436.472
om,2018,69.107
pk,2018,0
pa,2018,61.149
pg,2018,19.858
py,2018,32.84
pe,2018,207.923
ph,2018,407.942
pl,2018,577.055
pt,2018,219.857
qa,2018,232.669
ro,2018,211.094
ru,2018,"1,447.26"
rw,2018,11.105
ws,2018,0.941
st,2018,0.413
sa,2018,749.201
sn,2018,18.504
rs,2018,42.946
sc,2018,1.649
sl,2018,5.37
sg,2018,348.796
sk,2018,101.932
si,2018,48.168
sb,2018,1.492
za,2018,357.046
es,2018,"1,372.18"
lk,2018,102.841
sd,2018,101.047
sr,2018,6.251
sz,2018,4.555
sE,2018,541.467
ch,2018,727.226
sy,2018,0
tw,2018,591.253
tj,2018,9.328
tz,2018,54.761
th,2018,432.409
tl,2018,0
tg,2018,5.367
to,2018,0.531
tt,2018,31.906
tn,2018,46.962
tr,2018,804.563
tm,2018,65.462
ug,2018,31.577
ua,2018,115.455
ae,2018,410.422
gb,2018,"3,425.54"
us,2018,"20,493.25"
uy,2018,63.134
uz,2018,78.31
vu,2018,0.949
ve,2018,155.096
vn,2018,247.415
ye,2018,0
zm,2018,29.911
zw,2018,15.736
af,2019,0
al,2019,15.553
dz,2019,210.906
ao,2019,119.403
ag,2019,1.536
ar,2019,617.386
am,2019,12.273
au,2019,"1,442.47"
at,2019,433.75
az,2019,83.996
bs,2019,0
bh,2019,38.446
bd,2019,285.329
bb,2019,4.999
by,2019,82.437
be,2019,531.189
bz,2019,2.114
bj,2019,10.765
bt,2019,3.468
bo,2019,44.903
ba,2019,19.897
bw,2019,16.065
br,2019,"1,953.67"
bn,2019,17.129
bg,2019,56.032
bf,2019,16.266
bi,2019,4.145
kh,2019,24.83
cm,2019,39.594
ca,2019,"1,860.06"
cv,2019,0
cf,2019,2.637
td,2019,17.44
cl,2019,276.484
cn,2019,"15,620.71"
co,2019,379.025
km,2019,0.769
cd,2019,0
cg,2019,0
cr,2019,67.209
ci,2019,45.956
hr,2019,57.948
cy,2019,22.747
cz,2019,203.527
dk,2019,349.886
dj,2019,2.614
dm,2019,0.621
do,2019,80.95
ec,2019,112.418
eg,2019,0
sv,2019,30.081
gq,2019,10.681
er,2019,7.23
ee,2019,29.537
et,2019,91.98
fj,2019,5.47
fi,2019,267.335
fr,2019,"2,801.75"
ga,2019,17.773
gm,2019,0
ge,2019,18.632
de,2019,"3,846.70"
gh,2019,54.993
gr,2019,222.361
gd,2019,1.164
gt,2019,79.96
gn,2019,8.71
gw,2019,1.426
gy,2019,4.012
ht,2019,10.397
hn,2019,22.357
hk,2019,379.776
hu,2019,143.759
is,2019,19.757
in,2019,"3,131.95"
id,2019,"1,103.29"
ir,2019,0
ie,2019,280.731
il,2019,331.085
it,2019,"2,061.97"
jm,2019,16.213
jp,2019,"4,590.91"
jo,2019,50.276
kz,2019,243.072
ke,2019,94.303
ki,2019,0.175
kr,2019,"1,763.36"
kw,2019,167.562
kg,2019,9.715
la,2019,0
lv,2019,36.003
lb,2019,66.123
ls,2019,2.538
lr,2019,2.733
ly,2019,46.746
lt,2019,53.269
lu,2019,73.645
mk,2019,0
mg,2019,11.13
mw,2019,7.374
my,2019,487.731
mv,2019,4.086
ml,2019,15.037
mt,2019,11.656
mr,2019,5.925
mu,2019,14.526
mx,2019,"1,404.92"
md,2019,8.235
mn,2019,16.069
ma,2019,135.994
mz,2019,26.495
mm,2019,96.408
na,2019,17.37
np,2019,30.271
nl,2019,893.292
nz,2019,185.929
ni,2019,15.581
ne,2019,10.274
ng,2019,565.231
no,2019,453.441
om,2019,72.115
pk,2019,0
pa,2019,66.299
pg,2019,21.043
py,2019,34.237
pe,2019,221.314
ph,2019,454.796
pl,2019,617.513
pt,2019,227.453
qa,2019,251.129
ro,2019,225.12
ru,2019,"1,613.84"
rw,2019,12.132
ws,2019,0.976
st,2019,0.453
sa,2019,799.75
sn,2019,20.464
rs,2019,46.258
sc,2019,1.738
sl,2019,5.865
sg,2019,370.063
sk,2019,107.913
si,2019,50.312
sb,2019,1.611
za,2019,374.482
